ZCTA5CE10,STATEFP,COUNTYFP,TRACTCE
83302,32,7,951700
83346,32,7,951700
83604,32,7,951700
84034,32,7,951500
84034,32,33,970100
84083,32,7,951500
84083,32,33,970100
84313,32,7,951500
84313,32,7,951700
84714,32,17,950100
84728,32,33,970100
84733,32,17,950200
84753,32,17,950100
86413,32,3,5703
86426,32,3,5705
86429,32,3,5702
86429,32,3,5703
86429,32,3,5705
86432,32,3,5905
86432,32,3,7600
86432,32,17,950200
86441,32,3,5703
86442,32,3,5702
86442,32,3,5705
86443,32,3,5613
86443,32,3,7600
86444,32,3,7600
86445,32,3,5703
89001,32,3,5902
89001,32,17,950200
89001,32,23,960100
89001,32,23,980500
89002,32,3,5335
89002,32,3,5336
89002,32,3,5341
89002,32,3,5342
89002,32,3,5343
89002,32,3,5357
89002,32,3,5358
89002,32,3,5359
89002,32,3,5360
89002,32,3,5432
89002,32,3,5433
89002,32,3,5435
89002,32,3,5711
89003,32,23,960300
89003,32,23,980500
89004,32,3,5823
89004,32,3,5827
89004,32,3,5840
89004,32,3,7500
89007,32,3,5607
89007,32,3,5615
89007,32,3,5902
89007,32,3,5904
89007,32,3,7600
89008,32,3,5902
89008,32,17,950100
89008,32,17,950200
89010,32,9,950100
89010,32,21,970800
89011,32,3,5010
89011,32,3,5016
89011,32,3,5105
89011,32,3,5421
89011,32,3,5435
89011,32,3,5436
89011,32,3,5437
89011,32,3,5438
89011,32,3,5439
89011,32,3,5613
89011,32,3,6104
89012,32,3,5105
89012,32,3,5321
89012,32,3,5333
89012,32,3,5337
89012,32,3,5338
89012,32,3,5350
89012,32,3,5351
89012,32,3,5352
89012,32,3,5353
89012,32,3,5354
89012,32,3,5355
89012,32,3,5356
89012,32,3,5357
89012,32,3,5359
89012,32,3,5711
89013,32,9,950100
89013,32,23,960200
89013,32,23,960300
89014,32,3,2808
89014,32,3,2821
89014,32,3,5101
89014,32,3,5102
89014,32,3,5103
89014,32,3,5104
89014,32,3,5105
89014,32,3,5106
89014,32,3,5107
89014,32,3,5108
89014,32,3,5109
89014,32,3,5313
89014,32,3,5314
89014,32,3,5315
89014,32,3,5354
89015,32,3,5105
89015,32,3,5200
89015,32,3,5335
89015,32,3,5336
89015,32,3,5341
89015,32,3,5342
89015,32,3,5343
89015,32,3,5354
89015,32,3,5357
89015,32,3,5359
89015,32,3,5360
89015,32,3,5421
89015,32,3,5422
89015,32,3,5423
89015,32,3,5432
89015,32,3,5433
89015,32,3,5434
89015,32,3,5435
89015,32,3,5436
89015,32,3,5437
89015,32,3,5438
89015,32,3,5501
89015,32,3,5613
89015,32,3,5711
89017,32,17,950100
89017,32,17,950200
89018,32,3,5818
89018,32,3,5902
89018,32,3,7500
89019,32,3,5703
89019,32,3,5827
89019,32,3,7500
89020,32,23,960300
89020,32,23,960401
89020,32,23,960403
89021,32,3,5613
89021,32,3,5902
89021,32,3,7600
89022,32,23,960100
89022,32,23,960200
89025,32,3,5613
89025,32,3,5902
89025,32,17,950200
89026,32,3,5703
89026,32,3,5711
89027,32,3,5607
89027,32,3,5614
89027,32,3,5615
89027,32,3,5902
89027,32,3,5903
89027,32,3,5904
89027,32,3,5905
89027,32,3,7600
89029,32,3,5702
89029,32,3,5703
89029,32,3,5704
89029,32,3,5705
89030,32,3,301
89030,32,3,401
89030,32,3,402
89030,32,3,510
89030,32,3,525
89030,32,3,526
89030,32,3,3500
89030,32,3,3615
89030,32,3,3616
89030,32,3,3617
89030,32,3,3626
89030,32,3,3641
89030,32,3,3642
89030,32,3,3644
89030,32,3,3700
89030,32,3,3800
