Census Tract - 2010 Census,US Postal State Code,County - 2010 Census,2010 Census Tract - Percent Minority,Tract Income Ratio,Num Low Income Mortgages 2012,Num Low Income Mortgages 2013,Num Low Income Mortgages 2014,Num Low Income Mortgages 2015,Num Low Income Mortgages 2016,Num Low Income Mortgages 2017,Num Low Income Mortgages 2018,Num Low Income Mortgages 2019
0,4,21,9999.0,999900.0,13,10.0,1.0,0.0,0.0,0.0,1.0,0.0
100,6,67,17.3412029229904,143.19510972485202,116,97.0,51.0,57.0,50.0,43.0,29.0,52.0
101,32,3,73.142606918698,82.87784873528679,60,72.0,37.0,58.0,65.0,74.0,110.0,98.0
102,32,31,34.3472750316857,46.4795842613215,5,14.0,8.0,9.0,2.0,10.0,4.0,2.0
103,32,3,72.7900797165633,63.025920360631105,21,28.0,22.0,23.0,31.0,32.0,39.0,35.0
105,32,3,61.1305652826413,80.6473829201102,27,42.0,21.0,28.0,44.0,37.0,30.0,34.0
106,32,3,56.8613652357495,83.5462058602555,53,39.0,23.0,24.0,27.0,35.0,48.0,60.0
107,32,3,62.655601659751,80.032243926872,27,27.0,14.0,12.0,17.0,27.0,31.0,19.0
108,32,3,78.9731051344743,85.4479714500376,17,18.0,9.0,10.0,13.0,20.0,32.0,25.0
109,32,3,63.6389122511915,90.33934385174061,23,31.0,21.0,14.0,16.0,36.0,31.0,46.0
200,6,31,39.1457507705857,81.9339040711802,158,175.0,82.0,93.0,103.0,82.0,67.0,76.0
201,32,3,85.969556585043,68.3289506636614,293,223.0,99.0,158.0,152.0,165.0,156.0,277.0
202,32,31,38.2341190571314,70.32962138084629,28,36.0,25.0,14.0,23.0,26.0,19.0,26.0
203,32,3,66.6387493020659,76.7561983471074,45,61.0,39.0,27.0,37.0,39.0,39.0,45.0
204,4,21,29.0015128593041,110.793690224817,142,154.0,88.0,156.0,208.0,262.0,233.0,411.0
205,4,21,33.0775572325449,96.7177990311763,253,259.0,163.0,141.0,186.0,251.0,219.0,298.0
206,4,21,29.5029396044896,89.8723761023475,78,52.0,40.0,44.0,136.0,170.0,195.0,291.0
207,4,21,33.7019579405366,108.70388771581202,174,213.0,117.0,124.0,180.0,226.0,193.0,244.0
208,4,21,33.7677725118483,123.19742889082099,24,25.0,24.0,28.0,16.0,29.0,97.0,138.0
209,4,21,36.3059569968276,95.2599056017886,158,191.0,121.0,122.0,200.0,267.0,294.0,321.0
210,4,21,36.1543909348442,99.4845360824742,149,158.0,96.0,104.0,154.0,148.0,146.0,162.0
211,4,21,34.8712206047032,85.37138243696431,80,70.0,44.0,74.0,75.0,104.0,128.0,145.0
212,4,21,35.929648241206,104.448205191902,139,99.0,75.0,61.0,88.0,147.0,165.0,158.0
213,4,21,29.9346729512941,99.3665383182213,319,222.0,139.0,160.0,224.0,224.0,193.0,237.0
214,4,21,34.9379052643148,95.5222953670351,191,200.0,116.0,153.0,216.0,229.0,243.0,263.0
215,4,21,28.3923941227312,96.2877282325177,27,34.0,22.0,23.0,42.0,46.0,34.0,42.0
300,6,67,20.270705768611,148.913891054918,144,155.0,70.0,123.0,123.0,100.0,58.0,80.0
301,32,3,88.14050918466,38.044703230653596,26,44.0,23.0,16.0,21.0,24.0,35.0,49.0
302,32,3,94.6501176974106,37.5219133483596,55,67.0,40.0,39.0,57.0,57.0,49.0,58.0
303,4,3,16.083309227654,71.7222148953407,18,24.0,19.0,16.0,11.0,23.0,29.0,15.0
307,4,21,9.52184666117065,96.1386784250404,33,42.0,19.0,25.0,38.0,36.0,21.0,31.0
308,4,21,16.1900926298832,65.0975034157248,16,33.0,19.0,17.0,17.0,23.0,30.0,41.0
309,4,21,13.5349172066235,64.4718047447522,13,18.0,12.0,14.0,15.0,24.0,19.0,21.0
310,4,21,12.1111846459298,72.6291764998137,24,46.0,21.0,25.0,34.0,31.0,41.0,25.0
311,4,21,11.4265927977839,137.644392000994,92,77.0,31.0,48.0,50.0,49.0,35.0,53.0
312,4,21,29.7111052213093,61.899142963607,49,54.0,41.0,29.0,45.0,61.0,66.0,61.0
313,4,21,16.1608863198459,71.5376971804745,77,84.0,52.0,54.0,68.0,86.0,73.0,80.0
314,4,21,24.302103250478,76.3430008694572,100,75.0,53.0,63.0,83.0,91.0,74.0,105.0
315,4,21,20.0359928014397,86.24239224941,55,52.0,32.0,44.0,40.0,54.0,60.0,68.0
316,4,21,7.80805205368036,121.866848838654,282,240.0,89.0,109.0,141.0,139.0,111.0,131.0
317,4,21,10.5443634804972,81.6327164327413,15,18.0,14.0,11.0,17.0,18.0,16.0,18.0
318,4,21,17.0675300647549,73.5421065706123,99,81.0,74.0,65.0,64.0,82.0,95.0,114.0
319,4,21,2.66272189349112,80.4403179729226,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,32,31,15.1594144776419,138.761692650334,220,206.0,141.0,144.0,164.0,117.0,129.0,131.0
401,32,3,59.0924956369983,74.3488605058853,2,3.0,1.0,0.0,2.0,4.0,10.0,4.0
402,6,31,54.2424242424242,126.617817488504,59,43.0,41.0,38.0,45.0,43.0,37.0,52.0
403,32,3,77.0069015619324,45.0006260956674,33,37.0,36.0,31.0,44.0,29.0,34.0,39.0
404,6,31,56.1127566132162,141.749224270066,103,96.0,55.0,65.0,54.0,57.0,49.0,42.0
405,6,31,66.5976755293743,86.9303525365434,31,43.0,22.0,30.0,25.0,23.0,30.0,21.0
500,4,19,30.5092044353536,47.4057549192185,72,88.0,52.0,78.0,45.0,51.0,49.0,46.0
501,6,19,94.2806394316163,28.8475509501778,1,7.0,6.0,5.0,2.0,4.0,3.0,5.0
502,6,19,86.1064891846922,50.663403816005804,3,8.0,9.0,7.0,11.0,6.0,9.0,17.0
510,32,3,92.2042522260585,64.5348109191084,14,23.0,5.0,22.0,11.0,32.0,37.0,39.0
513,32,3,75.4775425916365,88.0071374906086,8,17.0,12.0,10.0,12.0,19.0,28.0,22.0
514,32,3,84.3464314354451,47.2905709992487,14,16.0,11.0,16.0,14.0,14.0,28.0,25.0
515,32,3,87.0101880877743,61.078762834961196,23,28.0,17.0,21.0,16.0,28.0,36.0,31.0
516,32,3,80.1351858805858,61.8973829201102,11,14.0,10.0,13.0,24.0,12.0,29.0,32.0
517,32,3,82.5396825396825,65.1953418482344,22,32.0,14.0,21.0,25.0,31.0,30.0,24.0
518,32,3,80.4228808759675,66.53988229401449,22,21.0,12.0,13.0,20.0,31.0,37.0,35.0
519,32,3,85.4162185416219,76.4259328825445,21,26.0,13.0,15.0,18.0,25.0,48.0,37.0
520,32,3,88.3208020050125,51.7671550212872,8,10.0,6.0,9.0,5.0,13.0,13.0,20.0
521,32,3,84.9042888296583,37.1979088404708,8,6.0,8.0,9.0,5.0,12.0,14.0,27.0
522,32,3,94.0372309482257,39.858815426997204,1,2.0,1.0,2.0,3.0,2.0,5.0,4.0
523,32,3,83.9562443026436,46.5063861758077,3,0.0,3.0,2.0,2.0,7.0,3.0,2.0
524,32,3,90.6468531468531,47.5691835712497,1,3.0,2.0,1.0,7.0,4.0,3.0,2.0
525,32,3,86.7295141406817,72.1371775607313,5,6.0,2.0,8.0,9.0,15.0,16.0,17.0
526,32,3,87.3098330241187,65.2563861758077,10,12.0,6.0,6.0,8.0,20.0,17.0,18.0
527,32,3,90.1795142555438,72.9104057099925,13,23.0,13.0,10.0,16.0,17.0,23.0,23.0
528,32,3,87.9569892473118,55.2607688454796,4,8.0,4.0,2.0,0.0,5.0,9.0,13.0
600,32,3,59.6671388101983,45.0006260956674,105,119.0,55.0,66.0,62.0,64.0,57.0,59.0
601,6,31,49.5359744536473,162.563086470522,140,141.0,61.0,79.0,94.0,113.0,76.0,93.0
