ZCTA5CE10,STATEFP,COUNTYFP,TRACTCE
89011,32,003,005010
89011,32,003,005016
89011,32,003,005105
89011,32,003,005421
89011,32,003,005435
89011,32,003,005436
89011,32,003,005437
89011,32,003,005438
89011,32,003,005439
89011,32,003,005613
89011,32,003,006104
89030,32,003,000301
89030,32,003,000401
89030,32,003,000402
89030,32,003,000510
89030,32,003,000525
89030,32,003,000526
89030,32,003,003500
89030,32,003,003615
89030,32,003,003616
89030,32,003,003617
89030,32,003,003626
89030,32,003,003641
89030,32,003,003642
89030,32,003,003644
89030,32,003,003700
89030,32,003,003800
89030,32,003,004000
89030,32,003,004100
89030,32,003,004200
89030,32,003,004301
89030,32,003,004302
89030,32,003,004401
89030,32,003,004402
89030,32,003,004500
89030,32,003,004601
89030,32,003,004602
89030,32,003,004707
89030,32,003,004710
89030,32,003,004713
89030,32,003,004714
89030,32,003,004715
89030,32,003,004717
89031,32,003,003306
89031,32,003,003307
89031,32,003,003607
89031,32,003,003609
89031,32,003,003610
89031,32,003,003615
89031,32,003,003618
89031,32,003,003622
89031,32,003,003624
89031,32,003,003625
89031,32,003,003629
89031,32,003,003630
89031,32,003,003631
89031,32,003,003632
89031,32,003,003633
89031,32,003,003634
89031,32,003,003635
89031,32,003,003636
89031,32,003,003637
89031,32,003,003638
89031,32,003,003639
89031,32,003,003640
89031,32,003,003641
89032,32,003,000302
89032,32,003,003414
89032,32,003,003427
89032,32,003,003428
89032,32,003,003429
89032,32,003,003430
89032,32,003,003431
89032,32,003,003500
89032,32,003,003607
89032,32,003,003609
89032,32,003,003610
89032,32,003,003612
89032,32,003,003613
89032,32,003,003615
89032,32,003,003616
89032,32,003,003617
89032,32,003,003626
89032,32,003,003640
89032,32,003,003641
89032,32,003,003642
89032,32,003,003643
89032,32,003,003644
89032,32,003,003700
89081,32,003,003615
89081,32,003,003622
89081,32,003,003623
89081,32,003,003624
89081,32,003,003625
89081,32,003,003626
89081,32,003,003627
89081,32,003,003628
89081,32,003,003637
89081,32,003,003638
89081,32,003,003639
89081,32,003,003641
89081,32,003,004602
89081,32,003,004715
89081,32,003,006001
89101,32,003,000301
89101,32,003,000401
89101,32,003,000402
89101,32,003,000403
89101,32,003,000510
89101,32,003,000514
89101,32,003,000516
89101,32,003,000518
89101,32,003,000520
89101,32,003,000521
89101,32,003,000522
89101,32,003,000523
89101,32,003,000524
89101,32,003,000525
89101,32,003,000526
89101,32,003,000527
89101,32,003,000600
89101,32,003,000700
89101,32,003,000800
89101,32,003,000900
89101,32,003,001100
89101,32,003,001200
89101,32,003,001300
89101,32,003,001401
89101,32,003,001501
89101,32,003,001502
89101,32,003,004000
89101,32,003,004100
89102,32,003,000105
89102,32,003,000203
89102,32,003,000204
89102,32,003,000301
89102,32,003,001003
89102,32,003,001004
89102,32,003,001005
89102,32,003,001006
89102,32,003,001100
89102,32,003,002201
89102,32,003,002203
89102,32,003,002204
89102,32,003,002206
89102,32,003,002207
89102,32,003,002302
89102,32,003,002937
89102,32,003,002938
89102,32,003,002954
89102,32,003,002995
89102,32,003,002996
89102,32,003,006700
89103,32,003,002919
89103,32,003,002935
89103,32,003,002936
89103,32,003,002938
89103,32,003,002941
89103,32,003,002942
89103,32,003,002946
89103,32,003,002947
89103,32,003,002948
89103,32,003,002949
89103,32,003,002954
89103,32,003,002956
89103,32,003,002958
89103,32,003,002962
89103,32,003,002964
89103,32,003,002965
89103,32,003,002966
89103,32,003,002967
89103,32,003,002970
89103,32,003,002995
89103,32,003,002996
89103,32,003,006700
89104,32,003,000518
89104,32,003,000519
89104,32,003,000521
89104,32,003,000523
89104,32,003,000600
89104,32,003,000800
89104,32,003,000900
89104,32,003,001100
89104,32,003,001200
89104,32,003,001300
89104,32,003,001401
89104,32,003,001402
89104,32,003,001501
89104,32,003,001502
89104,32,003,001608
89104,32,003,001609
89104,32,003,001610
89104,32,003,001611
89104,32,003,001612
89104,32,003,001801
89104,32,003,001804
89104,32,003,001901
89104,32,003,002000
89104,32,003,002303
89104,32,003,004912
89104,32,003,004924
89106,32,003,000101
89106,32,003,000201
89106,32,003,000203
89106,32,003,000204
89106,32,003,000301
89106,32,003,000302
89106,32,003,000401
89106,32,003,000700
89106,32,003,000900
89106,32,003,001005
89106,32,003,001006
89106,32,003,001100
89106,32,003,003429
89106,32,003,003430
89106,32,003,003431
89106,32,003,003500
89106,32,003,003616
89106,32,003,003617
89106,32,003,003700
89107,32,003,000101
89107,32,003,000103
89107,32,003,000105
89107,32,003,000106
89107,32,003,000107
89107,32,003,000108
89107,32,003,000109
89107,32,003,000203
89107,32,003,001004
89107,32,003,001005
89107,32,003,002905
89107,32,003,003001
89107,32,003,003003
89107,32,003,003004
89107,32,003,003005
